"","ชื่อโรงเรียน","จังหวัด","lat","lon","school_size","math","sci","eng","math.sd","sci.sd","eng.sd"
"74","ศรีอยุธยา ในพระอุปถัมภ์ฯ","กรุงเทพมหานคร",13.7573685872,100.537157357,"XL",28.625,31.672,34.4875,16.8751169094342,11.0457549778321,14.7443438478981
"75","ศึกษานารีวิทยา","กรุงเทพมหานคร",13.5951718488,100.331686601,"XL",28.1741573033708,29.4872222222222,31.811797752809,19.9813977585169,11.4329298718955,15.3625818706153
"76","เศรษฐบุตรบำเพ็ญ","กรุงเทพมหานคร",13.812923,100.714059,"XL",23.8586956521739,28.5945652173913,30.1494565217391,15.5548172968095,11.584741424599,14.1540804790308
"77","สตรีวัดระฆัง","กรุงเทพมหานคร",13.753099829,100.484690666,"L",29.359756097561,31.8390243902439,36.859756097561,19.6450405877123,11.8897092769653,14.160189018025
"78","สตรีวัดอัปสรสวรรค์","กรุงเทพมหานคร",13.7210497437,100.469785164,"XL",29.0217391304348,32.0895604395604,34.5244565217391,17.8899125980639,10.5827677446863,15.7611838795125
"79","สตรีวิทยา","กรุงเทพมหานคร",13.7576,100.5015,"XL",64.6638655462185,50.4441176470588,62.5945378151261,26.8882739582954,19.7972457599778,16.9309412248449
"80","สตรีวิทยา ๒","กรุงเทพมหานคร",13.8024078983,100.615711212,"XL",43.3833333333333,37.5486666666667,49.2416666666667,25.4046722349385,16.0018612032688,19.3079168106245
"81","สตรีศรีสุริโยทัย","กรุงเทพมหานคร",13.7151113597,100.515824407,"XL",34.875,38.0383333333333,39.3541666666667,17.3231071800899,12.9952186991812,13.4894255247842
"82","สตรีเศรษฐบุตรบำเพ็ญ","กรุงเทพมหานคร",13.8136927,100.7333569,"XL",23.3860759493671,29.0341772151899,31.2974683544304,11.7535999305528,9.92638140068081,12.5039145120233
"83","สวนกุหลาบวิทยาลัย ธนบุรี","กรุงเทพมหานคร",13.6262052919,100.470123589,"XL",30.911214953271,33.2353773584906,37.5943396226415,20.5765727159889,13.6404527347381,18.0266817071049
"84","สันติราษฎร์วิทยาลัย","กรุงเทพมหานคร",13.7581853349,100.531511307,"L",22.5,27.4628787878788,30.530303030303,13.7351318214951,9.59297142786586,15.2905523339084
